Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;6851
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;6851
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;5;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;4796
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;6;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;4796
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;7;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;4796
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;8;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;4796
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;9;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;4796
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;10;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;2055
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;11;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;2055
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;12;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;2055
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;13;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;2055
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;14;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;2055
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;15;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;0
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;16;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;0
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;17;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;0
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;18;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;0
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;19;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;0
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;38
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;38
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;38
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;38
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;38
